9.806250754574351580e-01,8.122874025146621380e-01,9.172113555905765381e-01,7.428100695974980683e-01,3.839472620311034645e-01,3.469281042031515661e-01,3.331901747948455283e-01,3.214617985103687126e-01,3.537890390081165903e-01
9.935464113530304564e-01,9.520265422649493159e-01,7.483346402387883733e-01,5.545848870401017816e-01,4.400758794770702753e-01,5.278681843396559881e-01,3.819601926250004720e-01,3.376812501759492435e-01,3.787098783725340589e-01
9.956005540347031557e-01,8.732131762048959134e-01,9.399728133592583079e-01,6.344253244409914227e-01,2.957785910701096754e-01,4.434217967645741609e-01,4.681289463411906215e-01,3.699510532771530524e-01,3.557315188563761610e-01
1.001115488796968211e+00,9.260244061228265489e-01,8.774267004823040894e-01,6.087389050410573210e-01,4.277891890255273721e-01,3.565481123690866783e-01,3.155608617706702757e-01,4.065556793682037484e-01,3.950377809118526540e-01
9.925735654490632776e-01,8.975917612006230062e-01,7.067573337541629419e-01,5.273833673675100142e-01,6.190096184494208176e-01,3.913026496872401561e-01,3.864416321270787713e-01,3.606021722955630171e-01,3.021133313047604241e-01
9.977089221532449148e-01,6.862223308567865221e-01,7.052486574008557385e-01,6.736199236630548981e-01,6.127387395306647111e-01,3.155704976496957470e-01,3.208653187048093880e-01,3.026459497944251620e-01,2.611260807063439660e-01
9.946277081307358658e-01,9.116454073511176537e-01,9.322952850415826553e-01,6.864709743234054251e-01,3.829679922077858234e-01,3.600567059671976322e-01,4.004984902372485944e-01,3.557283068967009854e-01,4.108744425596749239e-01
9.936006367898996272e-01,9.701374603015955334e-01,8.669900988036584044e-01,7.705984331966235779e-01,4.775352647193248368e-01,3.168112587783329936e-01,3.474671466121666552e-01,3.874144780310460612e-01,3.569244784674947546e-01
9.924651145753250470e-01,9.917633958557029450e-01,9.315903543622853222e-01,8.457979667445031380e-01,3.724454233731282482e-01,4.368287771842790934e-01,3.652430761485731536e-01,3.490236244829926227e-01,4.320697865785053660e-01
9.935464113530304564e-01,9.646225255393305886e-01,8.016306871288652047e-01,7.336206529668399812e-01,3.102692526752317548e-01,5.097572663030098816e-01,4.306663491392609955e-01,3.051945453272694175e-01,3.543345053364820862e-01
9.913295923607506888e-01,9.712729825161697805e-01,4.830056099237461931e-01,5.394435201925513734e-01,6.298193742667993478e-01,3.930314397476986632e-01,3.387083215167855932e-01,3.276274385150619306e-01,3.735809455877027174e-01
9.916549449819648254e-01,9.533821781866749223e-01,6.668674397318278269e-01,6.549571153786928335e-01,6.577736261362071568e-01,3.708122363477071581e-01,3.758455660975010826e-01,3.053029962010074261e-01,3.307596660147648082e-01
9.880314765907656227e-01,9.453250718109161843e-01,8.003899260002279581e-01,6.037216350896391637e-01,3.305395523076135600e-01,4.505570707135595487e-01,2.997848494790674168e-01,3.065405453699696081e-01,4.403405827420651120e-01
9.944650318201286865e-01,9.705170383596787298e-01,8.936429401882095558e-01,6.565360769672450303e-01,5.071640812123221487e-01,2.879926118786960143e-01,3.953121200558729620e-01,3.232958274848901081e-01,3.323289917242914782e-01
9.840858675380271814e-01,9.612191708552826341e-01,7.178956541524309509e-01,8.101183850399010788e-01,5.570567734183508035e-01,3.062184047084305916e-01,4.072509741684756102e-01,3.100555628874308578e-01,3.277901148256690544e-01
9.948988353150809427e-01,9.371085010842253871e-01,8.811554077875662916e-01,3.053636455572268371e-01,4.574115815991742773e-01,3.014658380220072709e-01,3.800655142942597764e-01,4.055860454239116897e-01,2.932428433759661224e-01
9.978715984638519831e-01,9.641919340040535635e-01,9.407829829526185295e-01,5.713751228338402877e-01,4.383916789744553011e-01,3.885532122052955950e-01,2.718273856499844321e-01,3.651888507117041494e-01,3.886074376421646548e-01
9.884652800857178789e-01,9.461894668411453546e-01,8.532075798375088338e-01,6.432319510538913043e-01,3.221028678737715145e-01,3.439489171350302854e-01,3.090284915465945081e-01,4.605598688972530330e-01,3.509215147734085494e-01
9.989528952415573926e-01,9.805708500205659872e-01,8.751014306162863132e-01,3.115132257635442881e-01,5.042869210985885253e-01,3.405965759281760485e-01,3.994204054192183606e-01,3.203262762957942988e-01,3.804993177892119771e-01
9.914922686713577571e-01,9.135910991590522334e-01,8.258020062561417518e-01,6.165791096693400419e-01,3.577378600205300963e-01,4.705052296844023374e-01,4.468825888451663508e-01,3.434673121225593206e-01,3.463252004782418902e-01
9.891127733684709211e-01,8.502890421256068532e-01,8.096335680677549940e-01,6.423165425464681944e-01,6.284191487872301529e-01,3.936885689094773433e-01,3.277326774291248190e-01,3.966071066213792684e-01,3.543280814171317350e-01
9.795437786797296376e-01,9.727338573519584974e-01,9.208348239817758518e-01,5.243467429028445537e-01,3.191875421215447095e-01,4.829321127288262461e-01,4.449368970372317156e-01,3.462741870010480616e-01,3.726048877240601964e-01
9.968445271230156335e-01,9.454877481215232526e-01,3.978129140711986200e-01,9.058593454045076321e-01,3.940042856516660086e-01,3.554668155913812688e-01,5.985766425064319440e-01,3.654121763785305732e-01,3.730993405752317527e-01
9.838689657905511643e-01,9.593787179614107208e-01,9.169944538431002989e-01,5.970647541934495095e-01,5.018118227606642723e-01,3.475213720490356595e-01,4.094232036029119004e-01,2.975712424464627692e-01,3.574570969571594925e-01
1.004250928256346098e+00,8.900769091935544219e-01,6.349101414131376186e-01,8.053626063938026380e-01,3.157970352761974020e-01,3.719541824816318676e-01,3.593039737703815906e-01,4.579092464100210091e-01,4.435366715576625207e-01
